Loading demo data ...
Data: loaded 89160 cached samples from /home/exouser/.cache/autoresearch_trimnn/data_k2.pkl
Demo — Train: 71328  Val: 17832
Loading TrimNN intestinal data (B004_ascending) ...
  Graph: 21,232 nodes, 63,644 edges
  Patterns: 2,925  (vf2_zero=1539, vf2_nonzero=1386, TrimNN mean=815.5, VF2 mean=14.6)
  Loaded in 0.8s
Parameters: 302,209

step 00277 (32.7%) | loss: 0.2198 | dt: 364ms | remaining: 202s   
step 00278 (32.8%) | loss: 0.2222 | dt: 361ms | remaining: 202s   
step 00279 (32.9%) | loss: 0.2205 | dt: 348ms | remaining: 201s   
step 00280 (33.0%) | loss: 0.2202 | dt: 337ms | remaining: 201s   
step 00281 (33.1%) | loss: 0.2211 | dt: 406ms | remaining: 201s   
step 00282 (33.3%) | loss: 0.2167 | dt: 341ms | remaining: 200s   
step 00283 (33.4%) | loss: 0.2171 | dt: 343ms | remaining: 200s   
step 00284 (33.5%) | loss: 0.2154 | dt: 371ms | remaining: 200s   
step 00285 (33.6%) | loss: 0.2144 | dt: 343ms | remaining: 199s   
step 00286 (33.7%) | loss: 0.2131 | dt: 410ms | remaining: 199s   
step 00287 (33.9%) | loss: 0.2141 | dt: 355ms | remaining: 198s   
step 00288 (34.0%) | loss: 0.2128 | dt: 266ms | remaining: 198s   
step 00289 (34.1%) | loss: 0.2146 | dt: 305ms | remaining: 198s   
step 00290 (34.2%) | loss: 0.2126 | dt: 383ms | remaining: 197s   
step 00291 (34.3%) | loss: 0.2098 | dt: 354ms | remaining: 197s   
step 00292 (34.5%) | loss: 0.2058 | dt: 452ms | remaining: 197s   
step 00293 (34.6%) | loss: 0.2036 | dt: 378ms | remaining: 196s   
step 00294 (34.7%) | loss: 0.2080 | dt: 342ms | remaining: 196s   
step 00295 (34.8%) | loss: 0.2083 | dt: 374ms | remaining: 196s   
step 00296 (35.0%) | loss: 0.2079 | dt: 418ms | remaining: 195s   
step 00297 (35.1%) | loss: 0.2057 | dt: 351ms | remaining: 195s   
