Loading demo data ...
Data: loaded 89160 cached samples from /home/exouser/.cache/autoresearch_trimnn/data_k2.pkl
Demo — Train: 71328  Val: 17832
Loading intestinal data ...
  B004_ascending_ct25: 21,232 nodes, 2925 patterns
  B005_ascending_ct24: 17,312 nodes, 2600 patterns
  B005_descendingSigmoid_ct20: 14,230 nodes, 1540 patterns
  B005_duodenum_ct25: 23,558 nodes, 2925 patterns
  B005_ileum_ct25: 17,670 nodes, 2925 patterns
  B006_descendingSigmoid_ct23: 24,585 nodes, 2300 patterns
  B006_descending_ct24: 20,379 nodes, 2600 patterns
  B008_ascending_ct22: 5,829 nodes, 2024 patterns
  B008_transverse_ct23: 22,279 nodes, 2300 patterns
  B010_ascending_ct25: 22,961 nodes, 2925 patterns
  B010_descendingSigmoid_ct24: 24,158 nodes, 2600 patterns
  B010_descending_ct24: 19,612 nodes, 2600 patterns
  B010_transverse_ct24: 14,924 nodes, 2600 patterns
  B011_ascending_ct24: 20,382 nodes, 2600 patterns
  B011_descendingSigmoid_ct24: 21,201 nodes, 2600 patterns
  B011_descending_ct24: 20,504 nodes, 2600 patterns
Intestinal: 16 samples (310,816 nodes total) in 8.5s
Parameters: 302,209

step 00158 (6.6%) | loss: 2.2980 | dt: 126ms | remaining: 280s   
step 00159 (6.7%) | loss: 2.2388 | dt: 129ms | remaining: 280s   
step 00160 (6.7%) | loss: 2.2382 | dt: 126ms | remaining: 280s   
step 00161 (6.7%) | loss: 2.1978 | dt: 129ms | remaining: 280s   
step 00162 (6.8%) | loss: 2.2070 | dt: 127ms | remaining: 280s   
step 00163 (6.8%) | loss: 2.1169 | dt: 128ms | remaining: 280s   
step 00164 (6.9%) | loss: 2.0703 | dt: 125ms | remaining: 279s   
step 00165 (6.9%) | loss: 2.0200 | dt: 130ms | remaining: 279s   
step 00166 (7.0%) | loss: 1.9967 | dt: 125ms | remaining: 279s   
step 00167 (7.0%) | loss: 2.0642 | dt: 126ms | remaining: 279s   
step 00168 (7.0%) | loss: 2.1549 | dt: 125ms | remaining: 279s   
step 00169 (7.1%) | loss: 2.1806 | dt: 126ms | remaining: 279s   
step 00170 (7.1%) | loss: 2.1807 | dt: 126ms | remaining: 279s   
step 00171 (7.2%) | loss: 2.3151 | dt: 134ms | remaining: 278s   
step 00172 (7.2%) | loss: 2.2754 | dt: 127ms | remaining: 278s   
step 00173 (7.3%) | loss: 2.3650 | dt: 125ms | remaining: 278s   
step 00174 (7.3%) | loss: 2.3531 | dt: 130ms | remaining: 278s   
step 00175 (7.3%) | loss: 2.5133 | dt: 126ms | remaining: 278s   
step 00176 (7.4%) | loss: 2.5023 | dt: 126ms | remaining: 278s   
step 00177 (7.4%) | loss: 2.4846 | dt: 126ms | remaining: 278s   
step 00178 (7.5%) | loss: 2.4847 | dt: 129ms | remaining: 278s   
step 00179 (7.5%) | loss: 2.4033 | dt: 128ms | remaining: 277s   
step 00180 (7.5%) | loss: 2.3853 | dt: 126ms | remaining: 277s   
step 00181 (7.6%) | loss: 2.3428 | dt: 127ms | remaining: 277s   
step 00182 (7.6%) | loss: 2.2802 | dt: 126ms | remaining: 277s   
step 00183 (7.7%) | loss: 2.2771 | dt: 128ms | remaining: 277s   
step 00184 (7.7%) | loss: 2.2501 | dt: 126ms | remaining: 277s   
